"State","Number of People"
"Maharashtra",198
"Andhra Pradesh",81
"Karnataka",57
"Gujarat",52
"Tamil Nadu",50
"Delhi",48
"Uttar Pradesh",39
"Madhya Pradesh",31
"Kerala",23
"Rajasthan",22
"West Bengal",18
"Punjab",16
"Chhattisgarh",12
"Haryana",11
"Jharkhand",11
"Singapore",10
"Canada",8
"USA",8
"Australia",7
"Bihar",7
"United Kingdom",7
"France",6
"Orissa",6
"Goa",5
"Assam",4
"UAE",3
"Uttarakhand",3
"Belgium",2
"Germany",2
"Kuwait",2
"Nepal",2
"Netherlands",2
"New Zealand",2
"Qatar",2
"Russia",2
"Sweden",2
"Chandigarh",1
"Ghana",1
"Jammu and Kashmir",1
"Japan",1
"Pondicherry",1
