Date,Full Page Ads,Full Front Page,Front Page Ad By,Multiple Front Pages,Full Page Ads By,Total Pages,Day
11/10/2015,3,Yes,Aparna Builders,No,"Aparna Builders, Bajaj Electronics",24,Sunday
12/10/2015,10,Yes,"Snapdeal, Amazon",Yes,"Snapdeal, Amazon, Honda, Facebook, Cafe Coffee Day",24,Monday
13/10/2015,15,Yes,"Flipkart, Videocon, Snapdeal, Amazon",Yes,"Flipkart, Videocon, Snapdeal, Amazon, HP, Hero, UB Group",24,Tuesday
14/10/2015,5,Yes,Amazon,Yes,"Amazon, The Interior Park, Flipkart",24,Wednesday
15/10/2015,13,Yes,"Flipkart, Motorola, Snapdeal, Croma",Yes,"Flipkart, Motorola, Snapdeal, Croma, Land Rover, Samsung",24,Thursday
16/10/2015,6,Yes,"Amazon, Canon",Yes,"Amazon, Canon, Whirlpool, Apple",22,Friday
17/10/2015,8,Yes,"Sony, Bajaj Electronics, SMR Vinay",Yes,"Sony, Bajaj Electronics, SMR Vinay, Samsung, Casautopia",20,Saturday
18/10/2015,5,Yes,Bajaj Electronics,No,"Bajaj Electronics, Nalli",24,Sunday
19/10/2015,3,Yes,Snapdeal,No,Snapdeal,22,Monday
20/10/2015,8,Yes,"Vivo, ICICI, Godrej",Yes,"ICICI, Godrej, Amazon, Maruti Suzuki, Bajaj Electronics, ACT, Vivo",23,Tuesday
21/10/2015,11,Yes,"Apple, JBL",Yes,"Apple, JBL, HP, Forum Mall, Hero, Nikon, Samsung, Bajaj Electronics, Indigo",23,Wednesday
22/10/2015,6,Yes,"Bajaj Electronics, Send My Gift",Yes,"Send My Gift, Haier, Amul, Bajaj Electronics",23,Thursday
24/10/2015,8,Yes,Myntra,No,"Myntra, Samsung, Ford, Indigo, Bajaj Electronics, Apple, Sony",23,Saturday
25/10/2015,5,Yes,Flipkart,No,"Flipkart, Bajaj Electronics, Amul, Casautopia",23,Sunday
26/10/2015,4,Yes,"Amazon, Snapdeal",Yes,"Amazon, Snapdeal, Indigo, Maruti Suzuki",23,Monday
27/10/2015,6,Yes,"Amazon, Lenovo",Yes,"Amazon, Lenovo, Make my Trip, Kuoni SOTC, Indigo, Spicejet",23,Tuesday
28/10/2015,3,Yes,Infibeam,No,"Infibeam, Indigo, Samsung, Toyota",23,Wednesday
29/10/2015,4,Yes,"Maruti Suzuki, Vivo",Yes,"Maruti Suzuki, Vivo, Indigo, Gabonese Republic",22,Thursday
30/10/2015,5,Yes,Superdry,No,"Superdry, Sony, Kent, Maruti Suzuki, Giordano, Marks & Spencer",23,Friday
31/10/2015,12,Yes,"Big Bazaar, Mayfair",Yes,"Big Bazaar, Mayfair, Bajaj Electronics, Videocon, Myntra, Apple, Brand Factory, UCB, Shoppers Stop",30,Saturday
01/11/2015,10,Yes,"Aparna Builders, PepperTap, More",Yes,"Aparna Builders, PepperTap, More, Whirlpool, Bajaj Electronics, Amul, Aditya",24,Sunday
02/11/2015,3,Yes,Snapdeal,No,"Snapdeal, Gionee",22,Monday
03/11/2015,6,Yes,"Abof, Panasonic",Yes,"Abof, Panasonic, Hero, ICICI",22,Tuesday
04/11/2015,5,Yes,Samsung,No,"Samsung, Maruti, Bajaj Electronics, Hero",24,Wednesday
05/11/2015,2,Yes,Oppo,No,Oppo,22,Thursday
06/11/2015,7,Yes,Mufti,No,"Mufti, Sony, LG, Fortune, Lepakshi, Apple",27,Friday
07/11/2015,11,Yes,"Bajaj Electronics, Big Bazaar",Yes,"Bajaj Electronics, Big Bazaar, Sony, Pai, Myntra, Panasonic, Videocon, Brand Factory",29,Saturday
